target_id,brand,model,colorway,size_kr,size_us,search_query_kream,search_query_ebay
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,270,9,Nike Jordan 1 Lost and Found 270,Nike Air Jordan 1 Lost and Found US 9
2,Adidas,Samba OG,Cloud White Black,265,8.5,Adidas Samba OG Cloud White Black 265,Adidas Samba OG Cloud White Black US 8.5
3,New Balance,993,Gray,270,9,New Balance 993 Gray 270,New Balance 993 Gray US 9
4,Nike,Dunk Low,Black White Panda,270,9,Nike Dunk Low Panda 270,Nike Dunk Low Panda Black White US 9
5,Nike,Air Force 1 Low,White,270,9,Nike Air Force 1 Low White 270,Nike Air Force 1 Low White US 9
6,Asics,Gel-Kayano 14,Cream Black,270,9,Asics Gel Kayano 14 Cream Black 270,Asics Gel Kayano 14 Cream Black US 9
7,Salomon,XT-6,Black,270,9,Salomon XT-6 Black 270,Salomon XT-6 Black US 9
8,New Balance,2002R,Protection Pack Rain Cloud,270,9,New Balance 2002R Protection Pack Rain Cloud 270,New Balance 2002R Protection Pack Rain Cloud US 9
9,Adidas,Gazelle Indoor,Blue Bird,265,8.5,Adidas Gazelle Indoor Blue Bird 265,Adidas Gazelle Indoor Blue Bird US 8.5
10,Nike,Air Jordan 4 Retro,Military Black,270,9,Nike Jordan 4 Military Black 270,Nike Air Jordan 4 Military Black US 9
11,Nike,Air Jordan 4 Retro,White Thunder,270,9,Nike Jordan 4 White Thunder 270,Nike Air Jordan 4 White Thunder US 9
12,New Balance,990v4,Gray,270,9,New Balance 990v4 Gray 270,New Balance 990v4 Gray US 9
13,Nike,Air Max 95,Neon,270,9,Nike Air Max 95 Neon 270,Nike Air Max 95 Neon US 9
14,Adidas,Yeezy Boost 350 V2,Zebra,270,9,Adidas Yeezy Boost 350 V2 Zebra 270,Adidas Yeezy Boost 350 V2 Zebra US 9
15,Nike,Dunk Low,Gray Fog,270,9,Nike Dunk Low Gray Fog 270,Nike Dunk Low Gray Fog US 9
